"<|review|> <|blanc|>","Millésime tardif et très précis, ce champagne associe puissance et élégance de texture. Il fera date par sa persistance florale."
"<|review|> <|blanc|>","Entièrement vinifié en fût, ce 2014 présente un nez qui évoque la tarte aux myrtilles. Sa bouche puissante se montre dense et compacte."
"<|review|> <|blanc|>","Très belle tension en 2017 pour ce vin à la finale bien équilibrée."
"<|review|> <|blanc|>","Un vin sec, cristallin avec une finale sur la coriandre fraîche."
"<|review|> <|blanc|>","Le style est plus posé et épuré que dans le Clos Vougeot, avec un nez frais. La bouche se montre charnue mais très délicate, sans excès de bois. Belle finale aux saveurs d'agrumes et de fruits jaunes (poires)."
"<|review|> <|rouge|>","Clos des Gauthières 2015 présente une matière dense et compacte, mais aussi beaucoup de fraîcheur en finale. Son profil épuré évoluera avec élégance sur plusieurs décennies."
"<|review|> <|rouge|>","Très belle expression du pinot noir. Les notes de violette et d'épices douces dominent, la trame se montre ample avec une certaine fraîcheur apportée par le bois. Ce vin s’installe dans un registre classique aux tanins fermes mais raffinés qui l’inviteront à table en hiver."
"<|review|> <|blanc|>","Un vin qui exprime une très belle pureté de fruit, avec un côté mûr et complexe. La bouche est ample mais aussi tendue et longiligne. Les amers apportent encore plus d’éclat au style"
"<|review|> <|rouge|>","Style de vin souple et agréable à boire."
"<|review|> <|rouge|>","La matière est bien présente dans ce vin encore en élevage, avec des tanins un peu rugueux."
"<|review|> <|blanc|>","Un pur meunier vinifié et élevé 12 mois en barriques, tout aussi savoureux et expressif. Il a conservé de la tension mais une finale saline persistante."
"<|review|> <|blanc|>","Très beau chardonnay de Vertus, fin et raffiné."
"<|review|> <|rouge|>","Un vin bien ouvert et facile d’accès, à boire."
"<|review|> <|rouge|>","Très belle expression aromatique, le nez offre un sentiment de maturité et d’épices. Une bouche riche et volumineuse, des tanins enrobés mais soyeux. C'est une très jolie bouteille qui ira loin."
"<|review|> <|rouge|>","Nez intense, très belle finesse de bouche."
"<|review|> <|rouge|>","Il présente un fruit d’une belle pureté, avec une touche florale. La bouche se montre étoffée et équilibrée. Jolie texture sur des notes de fruits mûrs bien définis. Ce vin est à la fois élégant et précis dans son expression aromatique finale."
"<|review|> <|rouge|>","Un rouge original (carignan, cinsault) de grande fraîcheur avec une bulle douce et un élevage en filigrane qui s'intègre bien. Il sera délicieux à boire dans les cinq ans."
"<|review|> <|blanc|>","La bouche est riche, les notes de fleurs blanches. Le jus se montre concentré avec une belle acidité qui le structure et lui donne un côté salivant en finale."
"<|review|> <|blanc|>","La fraîcheur du millésime lui confère une note de pierre à fusil. La bouche est dense, mais tendue, avec des notes d'agrumes confits et d'infusion de plantes."
"<|review|> <|blanc|>","Un sauvignon croquant, bien mûr et frais. On se régalera de son fruit pur, sans concession dans ce millésime solaire."
"<|review|> <|rouge|>","Un vin d’une belle définition et avec une structure de bouche qui lui confère un côté droit et élancé. Il possède l'envergure nécessaire pour bien évoluer sur dix ans au moins."
"<|review|> <|rouge|>","Droit, tendu et frais. Vin bien défini, un peu austère, sans grande finesse aromatique. À boire dans les six ans sur sa fraîcheur ou à garder quelques années en cave."
"<|review|> <|blanc|>","Une cuvée de chardonnay de très haut niveau. Il conserve une finale nette et précise, avec un beau volume. Parfait pour l’apéritif à la table!"
"<|review|> <|blanc|>","Il s’exprime avec force et profondeur. Il offre une bouche ample, généreuse mais toujours harmonieuse en finale sur de fines notes d'agrumes confits. Très séduisant aujourd’hui."
"<|review|> <|rouge|>","Ce vin d’une grande richesse, à la bouche charnue et au fruit mûr, présente beaucoup de finesse. Il offre une belle harmonie entre les tanins fins et mûrs du cabernet-sauvignon."
"<|review|> <|blanc|>","Menthol et bergamote se combinent dans une matière généreuse, aux notes de fruits jaunes et d'agrumes mûrs. On a le sentiment que la richesse du millésime est absorbée par un équilibre frais, mais l’élevage enrobe légèrement."
"<|review|> <|rouge|>","Ce vin se montre très charmeur, avec un côté fruité et souple. Il ne manque pas de volume mais il faut encore l’attendre pour en profiter pleinement."
"<|review|> <|blanc|>","Floral et pur, un chardonnay bien mûr. Une pointe de réduction ne nuit pas à la pureté du fruit : on le perçoit dès l'ouverture avec une sensation caillouteuse en finale."
"<|review|> <|rouge|>","Nez élégant et intense. Attaque nette, plein, belle chair, ouvert, tanin gras, bel équilibre, cuir noble, cuir de velours."
"<|review|> <|rouge|>","Délicieux cabernet franc sanguin, élevé sous bois et en demi-muids. Un beau classique à boire sur le croquant de son fruit."
"<|review|> <|rouge|>","Un nez frais, avec de petits fruits rouges à noyau. Une bouche qui se montre fine mais juteuse et charnue malgré un fruit acidulé en finale. Un vin plein en bouche et très long en longueur. Il présente une belle harmonie générale."
"<|review|> <|rouge|>","Encore une fois, le vin est marqué par un caractère de soufre. Le fruit n'est pas mûr. La bouche se montre ample et riche avec des tanins solides mais sans dureté. À l’inverse, la texture manque légèrement d’épaisseur."
"<|review|> <|rouge|>","Une cuvée bien faite, avec une bouche très plaisante et de la finesse. Il est taillé pour un long vieillissement sur plusieurs décennies."
